icd9_code,icd10_code
652.40,O32.0XX9
652.40,O32.2XX3
652.40,O32.4XX2
652.40,O32.8XX2
652.40,O33.3XX1
652.40,O32.2XX9
652.40,O32.3XX0
652.40,O32.0XX0
652.40,O32.8XX4
652.40,O33.4XX9
652.40,O32.0
652.40,O36.111
652.40,O33.3
652.43,O33.4
652.43,O33.7XX0
652.43,O33.7XX1
652.43,O33.7XX2
652.43,O33.7XX3
652.43,O33.7XX4
652.43,O33.7XX5
652.43,O33.7XX9
652.43,O32.3XX5
652.43,O32.8XX0
652.43,O32.8XX3
652.43,O32.8XX9
652.43,O32.9XX3
652.43,O33.6XX9
652.43,O32.9XX2
652.43,O32.3XX1
652.43,O32.4XX5
652.43,O33.3XX9
652.43,O33.4XX5
652.43,O33.6XX4
652.43,O32.0XX2
652.43,O32.0XX4
652.43,O32.2XX5
652.43,O33.3XX2
652.43,O33.6XX2
652.43,O32.0XX1
652.43,O32.0XX5
652.43,O32.2XX2
652.43,O32.4XX3
652.43,O33.3XX4
652.43,O33.4XX1
652.43,O33.4XX3
652.43,O33.6XX5
652.43,O32.2XX4
652.43,O32.3XX4
652.43,O32.3XX9
652.43,O32.4XX4
652.43,O32.9XX4
652.43,O33.3XX5
652.43,O33.4XX0
652.43,O32.4XX0
652.43,O32.8XX5
652.43,O32.0XX3
652.43,O32.2XX0
652.43,O32.2XX1
652.43,O32.3XX3
652.43,O32.8XX1
652.43,O32.3XX2
652.43,O32.9XX1
652.43,O33.3XX0
652.43,O33.4XX4
652.43,O32.9XX9
652.43,O33.3XX3
652.43,O32.4XX1
652.43,O32.4XX9
652.43,O33.4XX2
652.43,O33.6XX3
652.43,O32.9XX0
652.43,O32.9XX5
652.43,O33.6XX0
652.43,O33.6XX1
652.43,O32.0XX9
652.43,O32.2XX3
652.43,O32.4XX2
652.43,O32.8XX2
652.43,O33.3XX1
652.43,O32.2XX9
652.43,O32.3XX0
652.43,O32.0XX0
652.43,O32.8XX4
652.43,O33.4XX9
652.43,O32.0
652.43,O36.111
652.43,O33.3
659,O33.4
659,O33.7XX0
659,O33.7XX1
659,O33.7XX2
659,O33.7XX3
659,O33.7XX4
659,O33.7XX5
659,O33.7XX9
659,O32.3XX5
659,O32.8XX0
659,O32.8XX3
659,O32.8XX9
659,O32.9XX3
659,O33.6XX9
659,O32.9XX2
659,O32.3XX1
659,O32.4XX5
659,O33.3XX9
659,O33.4XX5
659,O33.6XX4
659,O32.0XX2
659,O32.0XX4
659,O32.2XX5
659,O33.3XX2
659,O33.6XX2
659,O32.0XX1
659,O32.0XX5
659,O32.2XX2
659,O32.4XX3
659,O33.3XX4
659,O33.4XX1
659,O33.4XX3
659,O33.6XX5
659,O32.2XX4
659,O32.3XX4
659,O32.3XX9
659,O32.4XX4
659,O32.9XX4
659,O33.3XX5
659,O33.4XX0
659,O32.4XX0
659,O32.8XX5
659,O32.0XX3
659,O32.2XX0
659,O32.2XX1
659,O32.3XX3
659,O32.8XX1
659,O32.3XX2
659,O32.9XX1
659,O33.3XX0
659,O33.4XX4
659,O32.9XX9
659,O33.3XX3
659,O32.4XX1
659,O32.4XX9
659,O33.4XX2
659,O33.6XX3
659,O32.9XX0
659,O32.9XX5
659,O33.6XX0
659,O33.6XX1
659,O32.0XX9
659,O32.2XX3
659,O32.4XX2
659,O32.8XX2
659,O33.3XX1
659,O32.2XX9
659,O32.3XX0
659,O32.0XX0
659,O32.8XX4
659,O33.4XX9
659,O32.0
659,O36.111
659,O33.3
659.8,O33.4
659.80,O33.7XX0
659.80,O33.7XX1
659.80,O33.7XX2
659.80,O33.7XX3
659.80,O33.7XX4
659.80,O33.7XX5
659.80,O33.7XX9
659.80,O32.3XX5
659.80,O32.8XX0
659.80,O32.8XX3
659.80,O32.8XX9
659.80,O32.9XX3
659.80,O33.6XX9
659.80,O32.9XX2
659.80,O32.3XX1
659.80,O32.4XX5
659.80,O33.3XX9
659.80,O33.4XX5
659.80,O33.6XX4
659.80,O32.0XX2
659.80,O32.0XX4
659.80,O32.2XX5
659.80,O33.3XX2
659.80,O33.6XX2
659.80,O32.0XX1
659.80,O32.0XX5
659.80,O32.2XX2
659.80,O32.4XX3
659.80,O33.3XX4
659.80,O33.4XX1
659.80,O33.4XX3
659.80,O33.6XX5
659.80,O32.2XX4
659.80,O32.3XX4
659.80,O32.3XX9
659.80,O32.4XX4
659.80,O32.9XX4
659.80,O33.3XX5
659.80,O33.4XX0
659.80,O32.4XX0
659.80,O32.8XX5
659.80,O32.0XX3
659.80,O32.2XX0
659.80,O32.2XX1
659.80,O32.3XX3
659.80,O32.8XX1
659.80,O32.3XX2
659.80,O32.9XX1
659.80,O33.3XX0
659.80,O33.4XX4
659.80,O32.9XX9
659.80,O33.3XX3
659.80,O32.4XX1
659.80,O32.4XX9
659.80,O33.4XX2
659.80,O33.6XX3
659.80,O32.9XX0
659.80,O32.9XX5
659.80,O33.6XX0
659.80,O33.6XX1
659.80,O32.0XX9
659.80,O32.2XX3
659.80,O32.4XX2
659.80,O32.8XX2
659.80,O33.3XX1
659.80,O32.2XX9
659.80,O32.3XX0
659.80,O32.0XX0
659.80,O32.8XX4
659.80,O33.4XX9
659.80,O32.0
659.80,O36.111
659.80,O33.3
659.83,O33.4
659.83,O33.7XX0
659.83,O33.7XX1
659.83,O33.7XX2
659.83,O33.7XX3
659.83,O33.7XX4
659.83,O33.7XX5
659.83,O33.7XX9
659.83,O32.3XX5
659.83,O32.8XX0
659.83,O32.8XX3
659.83,O32.8XX9
659.83,O32.9XX3
659.83,O33.6XX9
659.83,O32.9XX2
659.83,O32.3XX1
659.83,O32.4XX5
659.83,O33.3XX9
659.83,O33.4XX5
659.83,O33.6XX4
659.83,O32.0XX2
659.83,O32.0XX4
659.83,O32.2XX5
659.83,O33.3XX2
659.83,O33.6XX2
659.83,O32.0XX1
659.83,O32.0XX5
659.83,O32.2XX2
659.83,O32.4XX3
659.83,O33.3XX4
659.83,O33.4XX1
659.83,O33.4XX3
659.83,O33.6XX5
659.83,O32.2XX4
659.83,O32.3XX4
659.83,O32.3XX9
659.83,O32.4XX4
659.83,O32.9XX4
659.83,O33.3XX5
659.83,O33.4XX0
659.83,O32.4XX0
659.83,O32.8XX5
659.83,O32.0XX3
659.83,O32.2XX0
659.83,O32.2XX1
659.83,O32.3XX3
659.83,O32.8XX1
659.83,O32.3XX2
659.83,O32.9XX1
659.83,O33.3XX0
659.83,O33.4XX4
659.83,O32.9XX9
659.83,O33.3XX3
659.83,O32.4XX1
659.83,O32.4XX9
659.83,O33.4XX2
659.83,O33.6XX3
659.83,O32.9XX0
659.83,O32.9XX5
659.83,O33.6XX0
659.83,O33.6XX1
659.83,O32.0XX9
659.83,O32.2XX3
659.83,O32.4XX2
659.83,O32.8XX2
659.83,O33.3XX1
659.83,O32.2XX9
659.83,O32.3XX0
659.83,O32.0XX0
659.83,O32.8XX4
659.83,O33.4XX9
659.83,O32.0
659.83,O36.111
659.83,O33.3
659.9,O33.4
659.90,O33.7XX0
659.90,O33.7XX1
659.90,O33.7XX2
659.90,O33.7XX3
659.90,O33.7XX4
659.90,O33.7XX5
659.90,O33.7XX9
659.90,O32.3XX5
659.90,O32.8XX0
659.90,O32.8XX3
659.90,O32.8XX9
659.90,O32.9XX3
659.90,O33.6XX9
659.90,O32.9XX2
659.90,O32.3XX1
659.90,O32.4XX5
659.90,O33.3XX9
659.90,O33.4XX5
659.90,O33.6XX4
659.90,O32.0XX2
659.90,O32.0XX4
659.90,O32.2XX5
659.90,O33.3XX2
659.90,O33.6XX2
659.90,O32.0XX1
659.90,O32.0XX5
659.90,O32.2XX2
659.90,O32.4XX3
659.90,O33.3XX4
659.90,O33.4XX1
659.90,O33.4XX3
659.90,O33.6XX5
659.90,O32.2XX4
659.90,O32.3XX4
659.90,O32.3XX9
659.90,O32.4XX4
659.90,O32.9XX4
659.90,O33.3XX5
659.90,O33.4XX0
659.90,O32.4XX0
659.90,O32.8XX5
659.90,O32.0XX3
659.90,O32.2XX0
659.90,O32.2XX1
659.90,O32.3XX3
659.90,O32.8XX1
659.90,O32.3XX2
659.90,O32.9XX1
659.90,O33.3XX0
659.90,O33.4XX4
659.90,O32.9XX9
659.90,O33.3XX3
659.90,O32.4XX1
659.90,O32.4XX9
659.90,O33.4XX2
659.90,O33.6XX3
659.90,O32.9XX0
659.90,O32.9XX5
659.90,O33.6XX0
659.90,O33.6XX1
659.90,O32.0XX9
659.90,O32.2XX3
659.90,O32.4XX2
659.90,O32.8XX2
659.90,O33.3XX1
659.90,O32.2XX9
659.90,O32.3XX0
659.90,O32.0XX0
659.90,O32.8XX4
659.90,O33.4XX9
659.90,O32.0
659.90,O36.111
659.90,O33.3
659.93,O33.4
659.93,O33.7XX0
659.93,O33.7XX1
659.93,O33.7XX2
659.93,O33.7XX3
659.93,O33.7XX4
659.93,O33.7XX5
659.93,O33.7XX9
659.93,O32.3XX5
659.93,O32.8XX0
659.93,O32.8XX3
659.93,O32.8XX9
659.93,O32.9XX3
659.93,O33.6XX9
659.93,O32.9XX2
659.93,O32.3XX1
659.93,O32.4XX5
659.93,O33.3XX9
659.93,O33.4XX5
659.93,O33.6XX4
659.93,O32.0XX2
659.93,O32.0XX4
659.93,O32.2XX5
659.93,O33.3XX2
659.93,O33.6XX2
659.93,O32.0XX1
659.93,O32.0XX5
659.93,O32.2XX2
659.93,O32.4XX3
659.93,O33.3XX4
659.93,O33.4XX1
659.93,O33.4XX3
659.93,O33.6XX5
659.93,O32.2XX4
659.93,O32.3XX4
659.93,O32.3XX9
659.93,O32.4XX4
659.93,O32.9XX4
659.93,O33.3XX5
659.93,O33.4XX0
659.93,O32.4XX0
659.93,O32.8XX5
659.93,O32.0XX3
659.93,O32.2XX0
659.93,O32.2XX1
659.93,O32.3XX3
659.93,O32.8XX1
659.93,O32.3XX2
659.93,O32.9XX1
659.93,O33.3XX0
659.93,O33.4XX4
659.93,O32.9XX9
659.93,O33.3XX3
659.93,O32.4XX1
659.93,O32.4XX9
659.93,O33.4XX2
659.93,O33.6XX3
659.93,O32.9XX0
659.93,O32.9XX5
659.93,O33.6XX0
659.93,O33.6XX1
659.93,O32.0XX9
659.93,O32.2XX3
659.93,O32.4XX2
659.93,O32.8XX2
659.93,O33.3XX1
659.93,O32.2XX9
659.93,O32.3XX0
659.93,O32.0XX0
659.93,O32.8XX4
659.93,O33.4XX9
659.93,O32.0
659.93,O36.111
659.93,O33.3
665.10,O71.1
665.11,O71.1
667.10,O73.1
671.0,I83.893
671.00,I83.893
671.03,I83.893
671.13,I86
671.13,I86.8
671.5,H21.1X3
671.5,H21.1X1
671.5,H21.1X9
671.5,H21.1X2
671.5,I79
671.5,I79.8
671.5,I72.9
671.50,H21.1X3
671.50,H21.1X1
671.50,H21.1X9
671.50,H21.1X2
671.50,I79
671.50,I79.8
671.50,I72.9
671.53,H21.1X3
671.53,H21.1X1
671.53,H21.1X9
671.53,H21.1X2
671.53,I79
671.53,I79.8
671.53,I72.9
692.83,L23.0
718.12,M24.08
718.12,M24.041
718.12,M24.049
718.12,M24.00
718.12,M24.042
718.12,M24.0
721.1,M47.13
721.1,M47.11
721.1,M47.12
730.15,M86.55
730.75,M89.65
730.75,M89.659
730.75,M89.652
730.75,M89.651
736.3,M21.859
736.3,M21.959
736.3,M21.85
736.3,M21.95
736.30,M21.859
736.30,M21.959
736.30,M21.85
736.30,M21.95
736.39,M21.859
736.39,M21.959
736.39,M21.85
736.39,M21.95
737.3,M41.57
737.3,M41.53
737.3,M41.80
737.3,M41.83
737.3,M41.85
737.3,M41.87
737.3,M41.55
737.3,M41
737.3,M41.5
737.3,M41.8
737.3,M41.9
737.30,M41.57
737.30,M41.53
737.30,M41.80
737.30,M41.83
737.30,M41.85
737.30,M41.87
737.30,M41.55
737.30,M41
737.30,M41.5
737.30,M41.8
737.30,M41.9
737.39,M41.57
737.39,M41.53
737.39,M41.80
737.39,M41.83
737.39,M41.85
737.39,M41.87
737.39,M41.55
737.39,M41
737.39,M41.5
737.39,M41.8
737.39,M41.9
756.7,Q79.5
756.7,Q79.59
756.70,Q79.5
756.70,Q79.59
756.79,Q79.5
756.79,Q79.59
760,P00
760,P00.9
760,P00.8
760,P00.7
760,P00.89
760.0,I1A
760.1,P00.1
760.1,N39
760.1,N39.8
760.1,N39.9
760.2,N99.511
760.2,B99.9
760.2,B99.8
760.2,B96
760.2,B99
760.2,P00.2
760.3,P00.3
760.5,V80.710D
760.5,V80.730D
760.5,V80.720A
760.5,V80.01
760.5,V80.010A
760.5,V80.710
760.5,V80.21
760.5,V80.21XA
760.5,V80.720
760.5,V80.730
760.5,V80.010
760.5,V80.721D
760.5,V80.711
760.5,V80.710A
760.5,V80.790
760.5,V80.790D
760.5,V80.018D
760.5,V80.721A
760.5,V80.711A
760.5,V80.721
760.5,V80.018
760.5,V80.711D
760.5,V80.018A
760.5,V80.720D
760.5,V80.790A
760.5,V80.730A
760.5,V80.21XD
760.5,V80.72
760.5,V80.010D
760.5,P00
760.5,P00.9
760.5,P00.8
760.5,P00.7
760.5,P00.89
760.8,P00
760.8,P00.9
760.8,P00.8
760.8,P00.7
760.8,P00.89
760.9,P00
760.9,P00.9
760.9,P00.8
760.9,P00.7
760.9,P00.89
764,P05
764,P05.0
777.3,P78.2
781.8,R41.4
800.0,S02.0XXA
800.00,S02.0XXA
800.01,S02.0XXA
800.02,S02.0XXA
800.03,S06.303D
800.03,S06.2X4D
800.03,S06.304A
800.03,S06.373D
800.03,S06.1X4A
800.03,S06.2X4A
800.03,S06.4X3A
800.03,S06.314A
800.03,S06.324D
800.03,S06.334A
800.03,S06.383A
800.03,S06.313D
800.03,S06.374A
800.03,S06.383D
800.03,S06.5X4D
800.03,S06.813A
800.03,S06.323A
800.03,S06.814D
800.03,S06.304D
800.03,S06.4X4D
800.03,S06.6X3A
800.03,S06.1X3A
800.03,S06.314D
800.03,S06.334D
800.03,S06.813D
800.03,S06.303A
800.03,S06.6X4A
800.03,S06.313A
800.03,S06.333A
800.03,S06.4X4A
800.03,S06.5X4A
800.03,S06.824A
800.03,S06.1X3D
800.03,S06.1X4D
800.03,S06.4X3D
800.03,S06.823D
800.03,S06.824D
800.03,S06.2X3A
800.03,S06.384D
800.03,S06.6X3D
800.03,S06.6X4D
800.03,S06.814A
800.03,S06.333D
800.03,S06.5X3D
800.03,S06.2X3D
800.03,S06.323D
800.03,S06.374D
800.03,S06.384A
800.03,S06.5X3A
800.03,S06.823A
800.03,S06.324A
800.03,S06.373A
800.03,S06.1X3
800.03,S06.1X4
800.03,S06.2X3
800.03,S06.2X4
800.03,S06.303
800.03,S06.304
800.03,S06.313
800.03,S06.314
800.03,S06.323
800.03,S06.324
800.03,S06.333
800.03,S06.334
800.03,S06.373
800.03,S06.374
800.03,S06.383
800.03,S06.384
800.03,S06.4X3
800.03,S06.4X4
800.03,S06.5X3
800.03,S06.5X4
800.03,S06.6X3
800.03,S06.6X4
800.03,S06.813
800.03,S06.814
800.03,S06.823
800.03,S06.824
800.03,S02.0XXB
800.04,S02.0XXA
800.04,S06.5X5A
800.04,S06.6X6D
800.04,S06.825A
800.04,S06.4X5A
800.04,S06.5X5D
800.04,S06.6X5A
800.04,S06.4X6A
800.04,S06.816D
800.04,S06.6X5D
800.04,S06.815D
800.04,S06.816A
800.04,S06.4X6D
800.04,S06.826D
800.04,S06.826A
800.04,S06.4X5D
800.04,S06.6X6A
800.04,S06.815A
800.04,S06.825D
800.04,S06.4X5
800.04,S06.4X6
800.04,S06.5X5
800.04,S06.6X5
800.04,S06.6X6
800.04,S06.815
800.04,S06.816
800.04,S06.825
800.04,S06.826
800.05,S02.0XXA
800.05,S06.5X5A
800.05,S06.6X6D
800.05,S06.825A
800.05,S06.4X5A
800.05,S06.5X5D
800.05,S06.6X5A
800.05,S06.4X6A
800.05,S06.816D
800.05,S06.6X5D
800.05,S06.815D
800.05,S06.816A
800.05,S06.4X6D
800.05,S06.826D
800.05,S06.826A
800.05,S06.4X5D
800.05,S06.6X6A
800.05,S06.815A
800.05,S06.825D
800.05,S06.4X5
800.05,S06.4X6
800.05,S06.5X5
800.05,S06.6X5
800.05,S06.6X6
800.05,S06.815
800.05,S06.816
800.05,S06.825
800.05,S06.826
800.06,S02.0XXA
800.09,S06.0XA
800.09,S06.0XAA
800.09,S06.0XAD
800.09,S06.0X
800.09,S06.0
800.09,S02.0XXA
800.41,S02.0XXA
800.5,S02.0XXB
800.50,S02.0XXB
800.51,S02.101A
800.51,S02.102A
800.51,S02.109A
800.51,S02.19XA
800.51,S02.10XA
800.51,S02.0XXB
800.52,S02.0XXB
800.53,S02.0XXB
800.54,S02.0XXB
800.55,S02.0XXB
800.56,S02.0XXB
800.59,S06.0XA
800.59,S06.0XAA
800.59,S06.0XAD
800.59,S06.0X
800.59,S06.0
800.59,S02.0XXB
801.0,S02.101A
801.0,S02.102A
801.0,S02.109A
801.0,S02.19XA
801.0,S02.10XA
801.00,S02.101A
801.00,S02.102A
801.00,S02.109A
801.00,S02.19XA
801.00,S02.10XA
801.01,S02.101A
801.01,S02.102A
801.01,S02.109A
801.01,S02.19XA
801.01,S02.10XA
801.02,S62.222A
801.02,S62.226A
801.02,S62.224A
801.02,S62.234A
801.02,S62.223A
801.02,S62.235A
801.02,S62.221A
801.02,S62.236A
801.02,S62.225A
801.02,S62.231A
801.02,S62.232A
801.02,S62.233A
801.03,S62.222A
801.03,S62.226A
801.03,S62.224A
801.03,S62.234A
801.03,S62.223A
801.03,S62.235A
801.03,S62.221A
801.03,S62.236A
801.03,S62.225A
801.03,S62.231A
801.03,S62.232A
801.03,S62.233A
801.04,S62.222A
801.04,S62.226A
801.04,S62.224A
801.04,S62.234A
801.04,S62.223A
801.04,S62.235A
801.04,S62.221A
801.04,S62.236A
801.04,S62.225A
801.04,S62.231A
801.04,S62.232A
801.04,S62.233A
801.05,S02.101A
801.05,S02.102A
801.05,S02.109A
801.05,S02.19XA
801.05,S02.10XA
801.06,S62.222A
801.06,S62.226A
801.06,S62.224A
801.06,S62.234A
801.06,S62.223A
801.06,S62.235A
801.06,S62.221A
801.06,S62.236A
801.06,S62.225A
801.06,S62.231A
801.06,S62.232A
801.06,S62.233A
801.09,S06.0XA
801.09,S06.0XAA
801.09,S06.0XAD
801.09,S06.0X
801.09,S06.0
801.09,S02.101A
801.09,S02.102A
801.09,S02.109A
801.09,S02.19XA
801.09,S02.10XA
801.5,S02.101B
801.5,S02.102B
801.5,S02.109B
801.5,S02.19XB
801.50,S02.101B
801.50,S02.102B
801.50,S02.109B
801.50,S02.19XB
